time,true_sector,true_aprox_distance,true_n_drones,true_n_protocols,true_protocol_types,likelihood,decission,distance,Fc,deviceserial,sectorid,sector_v,uuid,macAP,manufacturerAP,macClient,manufacturerClient,protocolType,threshold,shooting_ratio,power,latitude,longitude,altitude,droneID,operatorId,drone_latitude,drone_longitude,drone_altitude,operator_latitude,operator_longitude,drone_ID,operator_ID,serial_number,drone_type,height,speed,direction,vertical_speed,object_id,north_speed,east_speed
2025-10-09 17:02:24.463389,,,,,,[-1],[-1],[],5805002559.843674,,4,,01K74Q9F7FRKSD02HP7XVWPHY2,,,,,Skylink,,,-55.33474209914279,,,,,,,,,,,,,,,,,,,01K74Q9F7FRKSD02HP7XVWPHY2,,,
2025-10-09 17:02:32.200455,,,,,,[-1],[-1],[],5805002559.843674,,4,,01K74Q9F7FRKSD02HP7XVWPHY2,,,,,Skylink,,,-54.147079740770174,,,,,,,,,,,,,,,,,,,01K74Q9F7FRKSD02HP7XVWPHY2,,,
2025-10-09 17:02:43.642157,,,,,,[-1],[-1],[],5845117147.044456,,4,,01K74Q9F7FRKSD02HP7XVWPHY2,,,,,Skylink,,,-54.866121817218065,,,,,,,,,,,,,,,,,,,01K74Q9F7FRKSD02HP7XVWPHY2,,,
2025-10-09 17:02:50.073716,,,,,,[-1],[-1],[],5805047581.8270645,,1,,01K74Q9F7FRKSD02HP7XVWPHY2,,,,,Skylink,,,-56.705214544671776,,,,,,,,,,,,,,,,,,,01K74Q9F7FRKSD02HP7XVWPHY2,,,
2025-10-09 17:02:59.018137,,,,,,[-1],[-1],[],2443539345.383488,,1,,01K74Q9F7FRKSD02HP7XVWPHY2,,,,,Skylink,,,-56.769199584931336,,,,,,,,,,,,,,,,,,,01K74Q9F7FRKSD02HP7XVWPHY2,,,
2025-10-09 17:03:07.248328,,,,,,[-1],[-1],[],5804980048.851978,,1,,01K74Q9F7FRKSD02HP7XVWPHY2,,,,,Skylink,,,-57.70549729172262,,,,,,,,,,,,,,,,,,,01K74Q9F7FRKSD02HP7XVWPHY2,,,
2025-10-09 17:03:15.090805,,,,,,[-1],[-1],[],5845139658.03615,,1,,01K74Q9F7FRKSD02HP7XVWPHY2,,,,,Skylink,,,-57.00388603715167,,,,,,,,,,,,,,,,,,,01K74Q9F7FRKSD02HP7XVWPHY2,,,
2025-10-09 17:03:22.517044,,,,,,[-1],[-1],[],5845207191.011236,,1,,01K74Q9F7FRKSD02HP7XVWPHY2,,,,,Skylink,,,-56.62328756875921,,,,,,,,,,,,,,,,,,,01K74Q9F7FRKSD02HP7XVWPHY2,,,
2025-10-09 17:03:29.248682,,,,,,[-1],[-1],[],5814839863.21446,,1,,01K74Q9F7FRKSD02HP7XVWPHY2,,,,,Skylink,,,-58.19040427681845,,,,,,,,,,,,,,,,,,,01K74Q9F7FRKSD02HP7XVWPHY2,,,
2025-10-09 17:03:58.669946,,,,,,[-1],[-1],[],5742076130.923302,,3,,01K74Q9F7FRKSD02HP7XVWPHY2,,,,,Skylink,,,-59.22850864184048,,,,,,,,,,,,,,,,,,,01K74Q9F7FRKSD02HP7XVWPHY2,,,
2025-10-09 17:04:11.235846,,,,,,[-1],[-1],[],2416481133.3659015,,3,,01K74Q9F7FRKSD02HP7XVWPHY2,,,,,Skylink,,,-60.255297590521124,,,,,,,,,,,,,,,,,,,01K74Q9F7FRKSD02HP7XVWPHY2,,,
2025-10-09 17:04:22.584013,,,,,,[-1],[-1],[],5805002559.843674,,3,,01K74Q9F7FRKSD02HP7XVWPHY2,,,,,Skylink,,,-60.597476611720744,,,,,,,,,,,,,,,,,,,01K74Q9F7FRKSD02HP7XVWPHY2,,,
2025-10-09 17:04:34.923226,,,,,,[-1],[-1],[],5845319745.969711,,3,,01K74Q9F7FRKSD02HP7XVWPHY2,,,,,Skylink,,,-59.497485206181054,,,,,,,,,,,,,,,,,,,01K74Q9F7FRKSD02HP7XVWPHY2,,,
2025-10-09 17:04:48.887979,,,,,,[-1],[-1],[],5845432300.928188,,3,,01K74Q9F7FRKSD02HP7XVWPHY2,,,,,Skylink,,,-58.2450247651606,,,,,,,,,,,,,,,,,,,01K74Q9F7FRKSD02HP7XVWPHY2,,,
2025-10-09 17:04:56.937819,,,,,,[-1],[-1],[],5805002559.843674,,3,,01K74Q9F7FRKSD02HP7XVWPHY2,,,,,Skylink,,,-61.10723666249085,,,,,,,,,,,,,,,,,,,01K74Q9F7FRKSD02HP7XVWPHY2,,,
2025-10-09 17:05:08.499494,,,,,,[-1],[-1],[],5804980048.851978,,3,,01K74Q9F7FRKSD02HP7XVWPHY2,,,,,Skylink,,,-59.45535689647328,,,,,,,,,,,,,,,,,,,01K74Q9F7FRKSD02HP7XVWPHY2,,,
2025-10-09 17:05:20.546591,,,,,,[-1],[-1],[],5805002559.843674,,3,,01K74Q9F7FRKSD02HP7XVWPHY2,,,,,Skylink,,,-58.81086592242567,,,,,,,,,,,,,,,,,,,01K74Q9F7FRKSD02HP7XVWPHY2,,,
2025-10-09 17:05:33.705200,,,,,,[-1],[-1],[],5804980048.851978,,3,,01K74Q9F7FRKSD02HP7XVWPHY2,,,,,Skylink,,,-58.96004134461642,,,,,,,,,,,,,,,,,,,01K74Q9F7FRKSD02HP7XVWPHY2,,,
2025-10-09 17:05:44.757819,,,,,,[-1],[-1],[],5804980048.851978,,4,,01K74Q9F7FRKSD02HP7XVWPHY2,,,,,Skylink,,,-54.25964278912912,,,,,,,,,,,,,,,,,,,01K74Q9F7FRKSD02HP7XVWPHY2,,,
2025-10-09 17:07:35.211989,,,,,,[-1],[-1],[],5805137625.793844,,1,,01K74Q9F7FRKSD02HP7XVWPHY2,,,,,Skylink,,,-57.31233396747832,,,,,,,,,,,,,,,,,,,01K74Q9F7FRKSD02HP7XVWPHY2,,,
2025-10-09 17:07:49.157940,,,,,,[-1],[-1],[],5805002559.843674,,1,,01K74Q9F7FRKSD02HP7XVWPHY2,,,,,Skylink,,,-57.78425677049285,,,,,,,,,,,,,,,,,,,01K74Q9F7FRKSD02HP7XVWPHY2,,,
2025-10-09 17:08:11.749225,,,,,,[-1],[-1],[],2434467415.730337,,4,,01K74Q9F7FRKSD02HP7XVWPHY2,,,,,Skylink,,,-53.22996735915636,,,,,,,,,,,,,,,,,,,01K74Q9F7FRKSD02HP7XVWPHY2,,,
2025-10-09 17:14:00.142152,,,,,,[-1],[-1],[],2470487757.6941867,,2,,01K74RJAQVQVJH2714MWNWVS7R,,,,,Skylink,,,-55.740879275588895,,,,,,,,,,,,,,,,,,,01K74RJAQVQVJH2714MWNWVS7R,,,
2025-10-09 17:14:04.582794,,,,,,[-1],[-1],[],5805250180.75232,,4,,01K74RJAQVQVJH2714MWNWVS7R,,,,,Skylink,,,-56.51981860406208,,,,,,,,,,,,,,,,,,,01K74RJAQVQVJH2714MWNWVS7R,,,
2025-10-09 17:14:11.417718,,,,,,[-1],[-1],[],5805025070.835369,,4,,01K74RJAQVQVJH2714MWNWVS7R,,,,,Skylink,,,-55.3756790791493,,,,,,,,,,,,,,,,,,,01K74RJAQVQVJH2714MWNWVS7R,,,
2025-10-09 17:14:17.655026,,,,,,[-1],[-1],[],5805047581.8270645,,4,,01K74RJAQVQVJH2714MWNWVS7R,,,,,Skylink,,,-55.44893627441544,,,,,,,,,,,,,,,,,,,01K74RJAQVQVJH2714MWNWVS7R,,,
2025-10-09 17:14:24.594222,,,,,,[-1],[-1],[],5805002559.843674,,4,,01K74RJAQVQVJH2714MWNWVS7R,,,,,Skylink,,,-55.010034028822815,,,,,,,,,,,,,,,,,,,01K74RJAQVQVJH2714MWNWVS7R,,,
